"","date","time","count","mean_amount","sd_amount"
"1","20210119",20,3,3.43633297513939,0.1868982365315
"2","20210119",30,3,3.94009148538137,0.105952706439454
"3","20210119",40,3,3.71117963613192,0.0953119889548421
"4","20210119",50,3,3.41662582440915,0.111219082751265
"5","20210119",60,3,3.49763850726581,0.119065272240082
"6","20210119",90,3,5.16430517391076,0.18712032469336
"7","20210119",100,2,5.57306401785463,0.13568355683702
"8","20210119",110,3,5.39023207575556,0.153663906041429
"9","20210119",120,3,5.68829126034146,0.119040235883885
"10","20210119",130,3,5.46007041390387,0.151237604291255
"11","20210121",30,3,3.59271708346121,0.11121908276973
"12","20210121",40,3,3.23825475721961,0.422787821637388
"13","20210121",50,3,3.3069395847087,0.147381649487956
"14","20210121",60,3,4.23839944958249,0.0250867870012862
"15","20210121",90,3,5.42368892409293,0.0546079385171452
"16","20210121",110,3,5.70991253983647,0.10002656580102
"17","20210121",120,3,5.8136363606947,0.061462013970936
"18","20210121",130,3,5.83823176540596,0.0967729329121417
