"","sample_id","amount","time","date","group","initial_pfu","diluted_initial","not_adsorbed_pfu"
"13","Lys2",8e+05,130,"20210121","ancestral",13600000,1360000,3e+05
"14","Lys2",766666.6667,120,"20210121","ancestral",13600000,1360000,3e+05
"15","Lys2",766666.6667,130,"20210121","ancestral",13600000,1360000,3e+05
"16","Lys2",666666.6667,110,"20210121","ancestral",13600000,1360000,3e+05
"18","Lys2",633333.3333,120,"20210119","ancestral",13600000,1360000,5e+05
"19","Lys2",6e+05,120,"20210121","ancestral",13600000,1360000,3e+05
"20","Lys2",6e+05,120,"20210121","ancestral",13600000,1360000,3e+05
"22","Lys2",533333.3333,130,"20210121","ancestral",13600000,1360000,3e+05
"23","Lys2",5e+05,120,"20210119","ancestral",13600000,1360000,5e+05
"25","Lys2",466666.6667,100,"20210119","ancestral",13600000,1360000,5e+05
"26","Lys2",466666.6667,110,"20210121","ancestral",13600000,1360000,3e+05
"27","Lys2",433333.3333,110,"20210121","ancestral",13600000,1360000,3e+05
"29","Lys2",4e+05,130,"20210119","ancestral",13600000,1360000,5e+05
"32","Lys2",366666.6667,120,"20210119","ancestral",13600000,1360000,5e+05
"34","Lys2",333333.3333,110,"20210119","ancestral",13600000,1360000,5e+05
"36","Lys2",3e+05,100,"20210119","ancestral",13600000,1360000,5e+05
"37","Lys2",3e+05,130,"20210119","ancestral",13600000,1360000,5e+05
"38","Lys2",3e+05,90,"20210121","ancestral",13600000,1360000,3e+05
"40","Lys2",266666.6667,110,"20210119","ancestral",13600000,1360000,5e+05
"41","Lys2",266666.6667,90,"20210121","ancestral",13600000,1360000,3e+05
"43","Lys2",233333.3333,90,"20210119","ancestral",13600000,1360000,5e+05
"44","Lys2",233333.3333,90,"20210121","ancestral",13600000,1360000,3e+05
"45","Lys2",2e+05,130,"20210119","ancestral",13600000,1360000,5e+05
"47","Lys2",166666.6667,110,"20210119","ancestral",13600000,1360000,5e+05
"51","Lys2",133333.3333,90,"20210119","ancestral",13600000,1360000,5e+05
"53","Lys2",1e+05,90,"20210119","ancestral",13600000,1360000,5e+05
"57","Lys2",18333.33333,60,"20210121","ancestral",13600000,1360000,3e+05
"58","Lys2",17333.33333,60,"20210121","ancestral",13600000,1360000,3e+05
"59","Lys2",16333.33333,60,"20210121","ancestral",13600000,1360000,3e+05
"60","Lys2",11333.33333,30,"20210119","ancestral",13600000,1360000,5e+05
"61","Lys2",8333.333333,30,"20210119","ancestral",13600000,1360000,5e+05
"62","Lys2",7000,30,"20210119","ancestral",13600000,1360000,5e+05
"65","Lys2",6000,40,"20210119","ancestral",13600000,1360000,5e+05
"68","Lys2",5666.666667,40,"20210119","ancestral",13600000,1360000,5e+05
"70","Lys2",5000,30,"20210121","ancestral",13600000,1360000,3e+05
"71","Lys2",4666.666667,40,"20210121","ancestral",13600000,1360000,3e+05
"73","Lys2",4000,40,"20210119","ancestral",13600000,1360000,5e+05
"74","Lys2",4000,60,"20210119","ancestral",13600000,1360000,5e+05
"75","Lys2",4000,30,"20210121","ancestral",13600000,1360000,3e+05
"77","Lys2",3666.666667,20,"20210119","ancestral",13600000,1360000,5e+05
"79","Lys2",3333.333333,20,"20210119","ancestral",13600000,1360000,5e+05
"80","Lys2",3333.333333,50,"20210119","ancestral",13600000,1360000,5e+05
"81","Lys2",3333.333333,60,"20210119","ancestral",13600000,1360000,5e+05
"84","Lys2",3000,30,"20210121","ancestral",13600000,1360000,3e+05
"85","Lys2",3000,50,"20210121","ancestral",13600000,1360000,3e+05
"88","Lys2",2666.666667,50,"20210119","ancestral",13600000,1360000,5e+05
"90","Lys2",2333.333333,60,"20210119","ancestral",13600000,1360000,5e+05
"91","Lys2",2000,50,"20210119","ancestral",13600000,1360000,5e+05
"93","Lys2",1666.666667,20,"20210119","ancestral",13600000,1360000,5e+05
"94","Lys2",1666.666667,40,"20210121","ancestral",13600000,1360000,3e+05
"95","Lys2",1666.666667,50,"20210121","ancestral",13600000,1360000,3e+05
"96","Lys2",1666.666667,50,"20210121","ancestral",13600000,1360000,3e+05
"97","Lys2",666.6666667,40,"20210121","ancestral",13600000,1360000,3e+05
